code,name,vintage,grower,colour,region,appellation,currency,tax,pack,size,lwin,bordeauxCode,productType,url,offer_price,offer_cs,offer_btl
DOMP202B,"Dom Perignon, P2",2002,Dom Perignon,White,Champagne,None,GBP,IB,3,75,1277359,1409893,Wine,https://bordeauxindex.com/fine-wine/france/champagne/domp2-2002,325.0,1,0
AMABL2022BTL,"Castello di Ama, Chianti Classico, Vigneto Bellavista Gran Selezione",2022,Castello di Ama,Red,Tuscany,Chianti Classico,GBP,IB,3,75,1097395,2204346,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/amabl-2022,175.0,2,0
MONBR2023BTL,"Ridge, Monte Bello, Santa Cruz Mountains",2023,Ridge,Red,California,None,GBP,IB,3,75,1123164,2051579,Wine,https://bordeauxindex.com/fine-wine/united_states/california/monbr-2023,189.0,4,0
MEMA10B,"Masseto, Toscana",2010,Masseto,Red,Tuscany,Toscana,GBP,IB,3,75,1160743,892008,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/mema-2010,593.0,1,0
LEGL2023BTL,"Chateau L'Eglise-Clinet, Pomerol",2023,Chateau L'Eglise-Clinet,Red,Bordeaux,Pomerol,GBP,IB,3,75,1009567,2051666,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/legl-2023,209.0,1,0
DELH10M,"Delas, Hermitage, Les Bessards",2010,Delas,Red,Rhone,Hermitage,GBP,IB,3,150,1111497,1407014,Wine,https://bordeauxindex.com/fine-wine/france/rhone/delh-2010,315.0,1,0
DEUW08B,"Deutz, Cuvee William Deutz",2008,Deutz,White,Champagne,None,GBP,IB,6,75,1082047,917203,Wine,https://bordeauxindex.com/fine-wine/france/champagne/deuw-2008,150.0,1,0
DUHA15B,"Chateau Duhart-Milon 4eme Cru Classe, Pauillac",2015,Chateau Duhart-Milon,Red,Bordeaux,Pauillac,GBP,IB,6,75,1009482,1396688,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/duha-2015,55.0,1,0
MONT15B,"Chateau Montrose 2eme Cru Classe, Saint-Estephe",2015,Chateau Montrose,Red,Bordeaux,Saint-Estephe,GBP,IB,6,75,1013296,1396670,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/mont-2015,98.33,1,0
LAFI20B,"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2020,Chateau Lafite Rothschild,Red,Bordeaux,Pauillac,GBP,IB,6,75,1011872,1396884,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lafi-2020,378.33,1,0
LAFI11B,"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2011,Chateau Lafite Rothschild,Red,Bordeaux,Pauillac,GBP,IB,6,75,1011872,1396945,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lafi-2011,390.0,1,0
GRAN21B,"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2021,Chateau Grand-Puy-Lacoste,Red,Bordeaux,Pauillac,GBP,IB,6,75,1010787,905281,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/gran-2021,35.0,1,0
LEOV21B,"Chateau Leoville Barton 2eme Cru Classe, Saint-Julien",2021,Chateau Leoville Barton,Red,Bordeaux,Saint-Julien,GBP,IB,6,75,1012361,919421,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/leov-2021,42.5,1,0
PONT21B,"Chateau Pontet-Canet 5eme Cru Classe, Pauillac",2021,Chateau Pontet-Canet,Red,Bordeaux,Pauillac,GBP,IB,6,75,1014307,925802,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/pont-2021,48.33,1,0
LEPO13B,"Chateau Leoville Poyferre 2eme Cru Classe, Saint-Julien",2013,Chateau Leoville Poyferre,Red,Bordeaux,Saint-Julien,GBP,IB,6,75,1012387,1396856,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lepo-2013,50.83,1,0
DUHA16B,"Chateau Duhart-Milon 4eme Cru Classe, Pauillac",2016,Chateau Duhart-Milon,Red,Bordeaux,Pauillac,GBP,IB,6,75,1009482,1396589,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/duha-2016,50.83,1,0
LEPO21B,"Chateau Leoville Poyferre 2eme Cru Classe, Saint-Julien",2021,Chateau Leoville Poyferre,Red,Bordeaux,Saint-Julien,GBP,IB,6,75,1012387,920503,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lepo-2021,51.67,1,0
CLER20B,"Chateau Clerc Milon 5eme Cru Classe, Pauillac",2020,Chateau Clerc Milon,Red,Bordeaux,Pauillac,GBP,IB,6,75,1008212,1396883,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/cler-2020,55.83,1,0
PONT13B,"Chateau Pontet-Canet 5eme Cru Classe, Pauillac",2013,Chateau Pontet-Canet,Red,Bordeaux,Pauillac,GBP,IB,6,75,1014307,1396898,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/pont-2013,56.67,1,0
MONT13B,"Chateau Montrose 2eme Cru Classe, Saint-Estephe",2013,Chateau Montrose,Red,Bordeaux,Saint-Estephe,GBP,IB,6,75,1013296,1396819,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/mont-2013,58.33,1,0
CALS17B,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2017,Chateau Calon Segur,Red,Bordeaux,Saint-Estephe,GBP,IB,6,75,1007475,905282,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/cals-2017,65.0,2,0
PICB21B,"Chateau Pichon Baron 2eme Cru Classe, Pauillac",2021,Chateau Pichon Baron,Red,Bordeaux,Pauillac,GBP,IB,6,75,1014163,916582,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/picb-2021,73.33,1,0
PHIC06B,"Philipponnat, Clos des Goisses",2006,Philipponnat,White,Champagne,None,GBP,IB,6,75,1311770,1502183,Wine,https://bordeauxindex.com/fine-wine/france/champagne/phic-2006,125.0,2,0
