"Property","Vintage","Description","PriceExTax","BottleSize","PageURL","LwinCode","BBRProductCode"
"De Martino","2022","Berry Bros. &amp; Rudd Chilean Sauvignon Blanc by De Martino","600","Case of 6 Bottles","https://www.bbr.com/products-20228004149-2022-berry-bros-and-rudd-chilean-sauvignon-blanc-by-de-martino","1698185","20228004149"
"Jean-Philippe Fichet","2022","Bourgogne Cote d?Or Blanc, Jean-Philippe Fichet","220","Case of 6 Bottles","https://www.bbr.com/products-20228148847-2022-bourgogne-cote-d-or-blanc-jean-philippe-fichet","1068368","20228148847"
"Domaine Amiot & Fils","2022","Chambolle-Musigny, Domaine Amiot &amp; Fils, Burgundy","300","Case of 6 Bottles","https://www.bbr.com/products-20228151885-2022-chambolle-musigny-domaine-amiot-and-fils-burgundy","2222549","20228151885"
"Bollinger","2007","Champagne Bollinger, R.D., Extra Brut (Disgorged 21/05/21)","800","Case of 6 Bottles","https://www.bbr.com/products-20078065449-2007-champagne-bollinger-r-d-extra-brut-disgorged-21-05-21","1081806","20078065449"
"Dom Perignon","2012","Champagne Dom Perignon, Brut","800","Case of 6 Bottles","https://www.bbr.com/products-20128000200-2012-champagne-dom-perignon-brut","1082656","20128000200"
"Krug","","Champagne Krug, Grande Cuvee, 170eme Edition, Brut","1000","Case of 6 Bottles","https://www.bbr.com/products-10008068815-champagne-krug-grande-cuvee-170eme-edition-brut","2276988","10008068815"
"Pol Roger","2008","Champagne Pol Roger, Brut","450","Case of 6 Bottles","https://www.bbr.com/products-20081082832-2008-champagne-pol-roger-brut","1082832","20081082832"
"Champagne Taittinger","2004","Champagne Taittinger, Comtes de Champagne, Blanc de Blancs, Brut","1000","Case of 6 Bottles","https://www.bbr.com/products-20048012674-2004-champagne-taittinger-comtes-de-champagne-blanc-de-blancs-brut","1314377","20048012674"
"Fontodi","2016","Chianti Classico, Fontodi, Tuscany, Italy","155","Case of 6 Bottles","https://www.bbr.com/products-20168117858-2016-chianti-classico-fontodi-tuscany-italy","1099227","20168117858"
"Chateau Beychevelle","2015","Chateau Beychevelle, St Julien, Bordeaux","500","Case of 6 Bottles","https://www.bbr.com/products-20158007528-2015-chateau-beychevelle-st-julien-bordeaux","1007101","20158007528"
"Chateau Grand-Puy-Lacoste","2009","Chateau Grand-Puy-Lacoste, Pauillac, Bordeaux","750","Case of 12 Bottles","https://www.bbr.com/products-20098003256-2009-chateau-grand-puy-lacoste-pauillac-bordeaux","1010787","20098003256"
"Chateau Grand-Puy-Lacoste","2010","Chateau Grand-Puy-Lacoste, Pauillac, Bordeaux","900","Case of 6 Bottles","https://www.bbr.com/products-20108003256-2010-chateau-grand-puy-lacoste-pauillac-bordeaux","1010787","20108003256"
"Chateau Pontet-Canet","2015","Chateau Pontet-Canet, Pauillac, Bordeaux","450","Case of 6 Bottles","https://www.bbr.com/products-20158007342-2015-chateau-pontet-canet-pauillac-bordeaux","1014307","20158007342"
"Cloudy Bay","2021","Cloudy Bay, Chardonnay, Marlborough, New Zealand","150","Case of 6 Bottles","https://www.bbr.com/products-20211107029-2021-cloudy-bay-chardonnay-marlborough-new-zealand","1107029","20211107029"
"La Rioja Alta","2010","Gran Reserva 904, La Rioja Alta, Rioja, Spain","320","Case of 6 Bottles","https://www.bbr.com/products-20101120990-2010-gran-reserva-904-la-rioja-alta-rioja-spain","1120990","20101120990"
"La Rioja Alta","2011","Gran Reserva 904, La Rioja Alta, Rioja, Spain","300","Case of 6 Bottles","https://www.bbr.com/products-20111120990-2011-gran-reserva-904-la-rioja-alta-rioja-spain","1120990","20111120990"
"Domaine de Montbourgeau","2020","L'Etoile, Chardonnay, Montmorain, Domaine de Montbourgeau, Jura","200","Case of 6 Bottles","https://www.bbr.com/products-20208158695-2020-l-etoile-chardonnay-montmorain-domaine-de-montbourgeau-jura","","20208158695"
"Domaine Pierre Thibert","2020","Nuits-St Georges, La Petite Charmotte, Domaine Pierre Thibert, Burgundy","300","Case of 6 Bottles","https://www.bbr.com/products-20208156330-2020-nuits-st-georges-la-petite-charmotte-domaine-pierre-thibert-burgundy","2967008","20208156330"
"Domaine Jean-Louis Chavy","2021","Puligny-Montrachet, Les Charmes, Domaine Jean-Louis Chavy, Burgundy","550","Case of 6 Bottles","https://www.bbr.com/products-20218029607-2021-puligny-montrachet-les-charmes-domaine-jean-louis-chavy-burgundy","1150458","20218029607"
"Denis Jamain, Reuilly","2023","Reuilly Blanc, Les Pierres Plates, Denis Jamain, Loire","163","Case of 12 Bottles","https://www.bbr.com/products-20231249895-2023-reuilly-blanc-les-pierres-plates-denis-jamain-loire","1249895","20231249895"
"Taylor Fladgate","2011","Taylor's, Port, Portugal","230","Case of 6 Bottles","https://www.bbr.com/products-20111107869-2011-taylor-s-port-portugal","1107869","20111107869"
"Bibi Graetz","2021","Testamatta, Bibi Graetz, Tuscany, Italy","320","Case of 6 Bottles","https://www.bbr.com/products-20218214515-2021-testamatta-bibi-graetz-tuscany-italy","1100121","20218214515"
